k_on,k_off,replicate,eq_time
0.01,0.01,0,3.6334236366188315
0.01,0.01,1,4.107087702660501
0.01,0.01,2,5.011450866896186
0.01,0.01,3,2.2543025112880426
0.01,0.01,4,3.646720053835277
0.01,0.01,5,3.2676436541980274
0.01,0.01,6,3.6326115513407413
0.01,0.01,7,3.1463114256220246
0.01,0.01,8,3.7376903383675155
0.01,0.01,9,4.2650589728875135
0.01,0.01,10,3.836022724209274
0.01,0.01,11,4.552870939201772
0.01,0.01,12,3.0034621532604313
0.01,0.01,13,3.4630425990121947
0.01,0.01,14,2.5105990479955924
0.01,0.01,15,3.3746942070928743
0.01,0.01,16,4.235450902449925
0.01,0.01,17,3.763492768393997
0.01,0.01,18,3.495537658660141
0.01,0.01,19,2.2001630074186735
0.01,0.01,20,3.1482941267903217
0.01,0.01,21,3.1179818831922015
0.01,0.01,22,3.484413819314698
0.01,0.01,23,3.696095723943774
0.01,0.01,24,3.155433866572304
0.01,0.01,25,3.212989510673138
0.01,0.01,26,2.163785953390192
0.01,0.01,27,4.3550234759930015
0.01,0.01,28,4.567545821524206
0.01,0.01,29,2.6845541798419643
0.01,0.01,30,2.660689082703404
0.01,0.01,31,3.5201744909634085
0.01,0.01,32,3.5777721271263383
0.01,0.01,33,4.233837796311455
0.01,0.01,34,2.6005430964142664
0.01,0.01,35,2.8398694753029146
0.01,0.01,36,2.9170839476029577
0.01,0.01,37,3.358057088698236
0.01,0.01,38,2.97886125443757
0.01,0.01,39,2.683689670571474
0.01,0.01,40,2.977839917091176
0.01,0.01,41,2.5438942828209643
0.01,0.01,42,2.4411995288087964
0.01,0.01,43,3.644201459056996
0.01,0.01,44,3.6792132886139415
0.01,0.01,45,2.7492438752621924
0.01,0.01,46,2.8375567139305415
0.01,0.01,47,4.761977781058784
0.01,0.01,48,3.0555921954215313
0.01,0.01,49,5.000803582674042
0.01,0.01,50,3.10641947843196
0.01,0.01,51,4.298708025737605
0.01,0.01,52,3.4398449020077244
0.01,0.01,53,3.6905815322768096
0.01,0.01,54,3.43448247335241
0.01,0.01,55,2.6904100126876282
0.01,0.01,56,2.5759411853968386
0.01,0.01,57,3.400393674804276
0.01,0.01,58,2.3275725379849
0.01,0.01,59,5.031749203605811
0.01,0.01,60,3.808347091356445
0.01,0.01,61,3.598921265235397
0.01,0.01,62,3.1887209710923456
0.01,0.01,63,2.8916420383376793
0.01,0.01,64,4.440659741265875
0.01,0.01,65,3.6936855705747713
0.01,0.01,66,2.615938227407219
0.01,0.01,67,4.39264690692189
0.01,0.01,68,3.8905446089338036
0.01,0.01,69,4.457492372860851
0.01,0.01,70,3.569794801622229
0.01,0.01,71,3.290148913406117
0.01,0.01,72,2.746134296862523
0.01,0.01,73,4.059101460643597
0.01,0.01,74,3.1125481267660784
0.01,0.01,75,2.9943580699697874
0.01,0.01,76,4.313094454836652
0.01,0.01,77,3.2928822968969893
0.01,0.01,78,2.505946271453485
0.01,0.01,79,4.974671284718908
0.01,0.01,80,3.625217391357608
0.01,0.01,81,3.9148689414748445
0.01,0.01,82,3.3184990151310503
0.01,0.01,83,1.9190563298635608
0.01,0.01,84,2.493217899401398
0.01,0.01,85,4.000998695539756
0.01,0.01,86,4.711004457356515
0.01,0.01,87,3.5245317847334263
0.01,0.01,88,2.7611857901028354
0.01,0.01,89,2.837932444019151
0.01,0.01,90,3.2728711484017645
0.01,0.01,91,3.9849564519728484
0.01,0.01,92,3.1368638031883056
0.01,0.01,93,3.679425310576463
0.01,0.01,94,4.347401049503908
0.01,0.01,95,3.064779331976333
0.01,0.01,96,3.9462301063135694
0.01,0.01,97,3.1188841114736863
0.01,0.01,98,4.2785329762747315
0.01,0.01,99,2.372794483350483
0.01,0.03162277660168379,0,3.748818374664214
0.01,0.03162277660168379,1,4.430544381934288
0.01,0.03162277660168379,2,4.170103071960275
0.01,0.03162277660168379,3,3.1725611096216713
0.01,0.03162277660168379,4,2.6950709371330985
0.01,0.03162277660168379,5,3.2343657467194675
0.01,0.03162277660168379,6,3.7845407615772424
0.01,0.03162277660168379,7,2.923760769804507
0.01,0.03162277660168379,8,4.757038655074873
0.01,0.03162277660168379,9,3.5481657464398833
0.01,0.03162277660168379,10,2.9863551345297843
0.01,0.03162277660168379,11,3.1979436702294617
0.01,0.03162277660168379,12,2.8091402287920175
0.01,0.03162277660168379,13,2.453216107653713
0.01,0.03162277660168379,14,3.789611634926621
0.01,0.03162277660168379,15,4.209458787877651
0.01,0.03162277660168379,16,3.9570174502839355
0.01,0.03162277660168379,17,4.620655030658991
0.01,0.03162277660168379,18,2.7711444069854996
0.01,0.03162277660168379,19,3.438252119800356
0.01,0.03162277660168379,20,5.489537365530451
0.01,0.03162277660168379,21,3.741733173841396
0.01,0.03162277660168379,22,4.113059930312176
0.01,0.03162277660168379,23,2.167492591084653
0.01,0.03162277660168379,24,3.4499036991483942
0.01,0.03162277660168379,25,4.318428847567211
0.01,0.03162277660168379,26,2.79148240415862
0.01,0.03162277660168379,27,3.7213429506609867
0.01,0.03162277660168379,28,3.8083974274231434
0.01,0.03162277660168379,29,3.4202402647769237
0.01,0.03162277660168379,30,2.628050009226222
0.01,0.03162277660168379,31,2.756455638338543
0.01,0.03162277660168379,32,2.511218853485475
0.01,0.03162277660168379,33,3.8540823411345375
0.01,0.03162277660168379,34,3.8006529762345935
0.01,0.03162277660168379,35,2.7474681476343195
0.01,0.03162277660168379,36,4.782108312988885
0.01,0.03162277660168379,37,2.5475640229922876
0.01,0.03162277660168379,38,3.1796044234788203
0.01,0.03162277660168379,39,4.643362818713671
0.01,0.03162277660168379,40,2.4749801749879405
0.01,0.03162277660168379,41,4.548156172985947
0.01,0.03162277660168379,42,5.951340007983516
0.01,0.03162277660168379,43,3.4887640859658573
0.01,0.03162277660168379,44,3.1455593930745667
0.01,0.03162277660168379,45,4.6710699859749605
0.01,0.03162277660168379,46,3.9189736399433976
0.01,0.03162277660168379,47,2.236284635899482
0.01,0.03162277660168379,48,2.526889389690449
0.01,0.03162277660168379,49,2.8335290141284215
0.01,0.03162277660168379,50,3.0125874783116333
0.01,0.03162277660168379,51,4.818103100198138
0.01,0.03162277660168379,52,5.53886192315608
0.01,0.03162277660168379,53,2.860023286610087
