time,free_R,free_W,prod_R,prod_W
4.0092429702245056e-06,1000,999,0,0
0.02045012018637219,1003,999,28,1
0.03875252489606942,999,1002,48,2
0.05718005885745871,992,1001,83,5
0.07640421177222553,998,998,119,10
0.09578541532007633,998,1000,149,14
0.11500026447163123,998,1000,181,18
0.1339051620203704,1000,1002,215,24
0.1519210063152191,998,1001,258,26
0.17038044999940663,996,999,291,29
0.18899601278048658,997,999,328,31
0.20855668488651186,989,1002,359,33
0.2269393695381578,998,1001,402,34
0.246394679296637,999,998,430,36
0.2648110103339258,999,999,459,38
0.28245007417615925,995,1002,495,47
0.3010792035412673,1002,1000,542,49
0.3204125219542592,994,996,575,52
0.34016233022841147,992,999,613,55
0.3585211667987602,994,999,652,60
0.3772746630586155,993,1001,691,64
0.39505322897482814,996,999,728,70
0.413726513059859,997,999,761,74
0.43232558182651276,996,1001,803,77
0.45056502708447743,998,999,832,86
0.4711767042915977,997,1002,867,89
0.49052546703279826,997,1001,903,92
0.5093138889875661,999,999,942,99
0.5284788885874455,995,1002,992,102
0.547869370766796,994,1000,1025,104
0.5666722725059318,992,1002,1051,106
0.5850060195085917,1001,999,1091,110
0.6036710274218542,999,1000,1121,119
0.6234204481928046,999,1002,1154,122
0.6441890978255915,988,1001,1182,124
0.6632626597028268,993,1001,1217,128
0.6820813863675248,1000,1003,1246,134
0.7017835294022998,993,1001,1284,137
0.720940767908548,1000,999,1318,142
0.7398959018486406,993,999,1357,144
0.7581146289890808,998,1000,1390,145
0.7778051544902449,995,1001,1421,146
0.7966554556173038,1002,998,1454,149
0.8155185701955239,997,1003,1496,153
0.8352044587794171,993,1001,1529,156
0.8541499189380899,996,1003,1564,158
0.8730383073510574,996,1003,1589,163
0.8928442827411021,998,998,1616,169
0.9116043396271131,1000,1000,1653,172
0.9305189228645179,999,1002,1683,177
0.9494871581279319,994,1004,1723,182
0.9687346157121229,995,1002,1754,184
0.9876601143178156,999,1002,1791,187
1.0069852596652482,992,1000,1819,190
1.0264086653833118,999,1001,1854,195
1.0463351971470665,992,996,1886,199
1.0653019248142226,1000,1002,1926,205
1.083613178521108,989,1000,1957,207
1.101982349072525,1001,1001,1990,209
1.1207503627836564,990,1000,2027,214
1.1381339495318679,1005,1000,2062,216
1.15747676539677,994,1001,2103,219
1.1766471521777315,1009,999,2132,223
1.1961078071252453,996,1000,2159,226
1.214708132842918,990,999,2190,226
1.2328373577182465,987,1002,2232,228
1.251165931326552,1001,1002,2267,231
1.2698797955212544,996,1000,2302,233
1.2879625649006712,991,998,2334,238
1.3056801143530994,1003,1001,2369,242
1.3239330575990158,993,998,2403,247
1.3431691541970106,993,999,2441,252
1.361688934497071,992,1000,2472,255
1.38071526254694,999,1003,2500,257
1.400229035348908,993,1000,2536,260
1.4184727571919789,998,997,2566,264
1.438337519372215,1000,1001,2592,266
1.4575837893016361,996,999,2624,272
1.476067955783104,995,1002,2664,278
1.4953751424306536,997,1000,2700,280
1.5131505757406853,997,999,2726,283
1.5329747164940404,997,1004,2756,286
1.5527342881453927,1000,1002,2789,290
1.5711086669537626,1000,1000,2823,294
1.5897194955171807,998,998,2855,296
1.608328627676255,997,1000,2888,298
1.6269872979673339,998,1001,2923,299
1.6457639743210974,993,999,2956,307
1.6641256064628298,1003,1000,2989,313
1.682522218107148,1001,1001,3026,315
1.7013964175650442,990,1001,3064,316
1.7203069978958274,994,1002,3092,319
1.7394089950625615,1002,1003,3131,323
1.759042404326866,988,1002,3171,324
1.7775703835982053,1001,1003,3200,327
1.7966446384460357,1001,999,3224,331
1.8156668038762385,1005,1002,3261,337
1.8343029028925257,992,999,3292,340
1.8529597351247882,999,1000,3334,344
1.8705304659933235,997,1003,3362,345
1.8892510409648016,1002,1001,3397,353
1.9078674498097792,998,1000,3435,358
1.9259603712013773,999,1000,3475,361
1.9456856178065043,991,1000,3509,363
1.9632749883466376,996,1002,3549,366
1.9820655897860286,996,999,3597,369
2.0010005785774547,998,999,3634,374
2.0203636260377547,1003,997,3666,375
2.039284835413486,1000,1001,3689,379
2.0593209531265186,992,1002,3723,380
2.077563484263702,991,1002,3761,387
2.0977050334010343,1003,1000,3796,390
2.117663413675302,1002,1002,3829,394
2.1375676964868773,1002,1000,3864,397
2.158028411001588,995,997,3890,399
2.1774191506329843,1008,998,3926,401
2.1961701352447274,1000,1000,3952,405
2.2157879341082083,999,998,3994,410
2.2358719819953587,996,1002,4026,415
2.2551810647020574,998,1001,4064,418
2.2741596668149677,990,999,4098,420
2.2936483120729716,999,998,4128,424
2.313417083855454,997,1002,4156,426
2.332604742717333,995,1001,4194,429
2.352541374424918,996,1001,4231,435
2.3712724330564097,994,1000,4263,438
2.389919550171654,991,1001,4302,441
2.4087203485197004,999,999,4332,447
2.427079893410132,997,1000,4363,451
2.4452338713258093,999,1004,4390,452
2.464439564192178,996,998,4426,455
2.482743995445665,1001,1000,4455,457
2.5034711041908686,999,1001,4482,459
2.5226658013777277,1001,999,4514,461
2.541842848991271,1000,999,4551,469
2.5611519210289906,1003,1002,4579,471
2.580203720222629,997,997,4606,475
2.5983370828540298,991,1000,4638,478
2.6167319966251887,989,1001,4673,482
2.634575868666195,998,999,4705,487
2.6542623701598385,1001,999,4733,490
2.674153044509015,996,1004,4752,493
2.693536080153819,993,1002,4793,495
2.7132025778979556,1001,1000,4820,502
2.7325385737372403,1001,1003,4860,505
2.7515600763802084,994,1001,4895,509
2.769092237838575,996,1001,4934,512
2.7877476748411425,1001,1002,4976,516
2.807501233918632,995,1002,5015,519
2.8270113072279077,1000,1002,5037,522
2.845533397353351,995,1000,5069,527
2.863846126731331,996,1002,5105,532
2.882425028408666,992,1002,5148,533
2.901300227651116,1007,999,5184,537
2.9195126597908745,994,1002,5212,541
2.93774632660028,1002,999,5249,545
2.9568058936076995,996,1003,5277,547
2.9759785831388608,999,1001,5313,550
2.9953409860187747,998,1000,5358,551
3.013416061197013,995,1002,5394,556
3.0330913041126624,993,999,5432,559
3.0510499361496373,1004,1001,5469,559
3.0703604135598126,997,998,5491,565
3.0899310087865133,998,1000,5519,568
3.1087695250061236,1002,999,5553,575
3.1275741047037062,1003,996,5588,578
3.146260514518632,992,999,5621,579
3.164995373239435,1000,1001,5655,583
3.1829725311524975,997,999,5681,586
3.2016827118782176,996,999,5721,593
3.2214521399749794,997,999,5761,596
3.2402609621829703,999,1000,5783,599
3.2592530943259566,989,1000,5831,601
3.2777897343881017,994,1000,5856,605
3.2974859150165807,999,997,5878,607
3.3160684043998723,997,1001,5909,610
3.3343224437946497,997,999,5946,617
3.353457569624247,985,1000,5974,626
3.372047890396932,1001,1001,6012,627
3.3914675937952143,992,1002,6039,632
